Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,formatted_address
Marcus Garvey Gardens,Roxbury,02119,161,161,0,0.0,0.0,0.0,161,161,0.0,Rental,Private,Y,Y,"Managers Office, 44 John Eliot Sq, Boston, MA 02119, United States"
Marksdale Gardens I&II,Roxbury,02121,178,178,0,0.0,0.0,0.0,178,178,0.0,Cooperative,Private,,Y,"95 Humboldt Ave # A, Dorchester, MA 02121, United States"
Marriro (VUP) CDFI,Roxbury,02121,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,
Martinex-Alamo (VUP),Roxbury,02125,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,
Mary Colbert Apartments,Charlestown,02129,30,30,0,0.0,0.0,0.0,30,30,0.0,Rental,Private,Y,Y,"20 Devens St, Charlestown, MA 02129, United States"
Mason Place,Downtown,02111,128,128,0,0.0,0.0,0.0,128,128,0.0,Rental,Private,Y,Y,"Mason St, Boston, MA 02111, United States"
Mass Pike Towers,Chinatown,02116,200,200,0,0.0,0.0,0.0,200,200,0.0,Rental,Private,,Y,"336B Tremont St, Boston, MA 02116, United States"
Mattapan Apartments,Dorchester,02122,183,183,0,0.0,0.0,0.0,183,183,0.0,Rental,Private,,Y,"725-735 Adams St, Boston, MA 02122, United States"
Mattapan Center for Life,Mattapan,02126,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,Y,,"555 River St, Mattapan, MA 02126, United States"
Mattapan Heights I AKA: The Foley,Mattapan,02126,176,176,0,24.0,24.0,0.0,152,152,0.0,Rental,Private,Y,,"229A River St, Mattapan, MA 02126, United States"
Mattapan Heights II,Mattapan,02126,83,83,0,0.0,0.0,0.0,83,83,0.0,Rental,Private,,,"229A River St, Mattapan, MA 02126, United States"
Mattapan Heights III & IV,Mattapan,02126,73,73,0,0.0,0.0,0.0,73,73,0.0,Rental,Private,,,"229A River St, Mattapan, MA 02126, United States"
MAVERICK GARDENS I,East Boston,02128,150,150,0,0.0,0.0,0.0,150,150,0.0,Rental,Private,,,"31 Liverpool St, East Boston, MA 02128, United States"
Maverick Landing (2-8),East Boston,02128,396,396,0,91.0,91.0,0.0,305,305,0.0,Rental,Private,,,"31 Liverpool St, East Boston, MA 02128, United States"
McCrohon House - HEARTH (SPO),Jamaica Plain,02130,16,16,0,1.0,1.0,0.0,15,15,0.0,Rental,Private,,,
Mei Wah Village,Chinatown,02111,41,41,0,0.0,0.0,0.0,41,41,0.0,Rental,Private,Y,,"10 Maple Pl, Boston, MA 02111, United States"
Mendes (VUP),Dorchester,02125,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,
Meranda (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Mercantile Building,North End,02109,122,122,0,74.0,74.0,0.0,48,48,0.0,Rental,Private,,Y,"111 Atlantic Ave, Boston, MA 02110, United States"
Meridian House,East Boston,02128,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,"408 Meridian St, East Boston, MA 02128, United States"
Meridian St,East Boston,02128,5,0,5,0.0,0.0,0.0,5,0,5.0,Ownership,Private,,,"Meridian St, Boston, MA 02128, USA"
Methunion Manor Coop,South End,02116,149,149,0,0.0,0.0,0.0,149,149,0.0,Rental,Private,,Y,"405 Columbus Ave #101, Boston, MA 02116, United States"
Mezzo Design Lofts,Charlestown,02129,146,0,146,131.0,0.0,131.0,15,0,15.0,Ownership,Private,,,"30 Caldwell St, Charlestown, MA 02129, United States"
MHPI Community Apartments,Mission Hill,02120,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"43 Smith St, Boston, MA 02120, United States"
MHPI II,Jamaica Plain,02130,11,11,0,0.0,0.0,0.0,11,11,0.0,Rental,Private,,,
MHPI III,Jamaica Plain,02130,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,
MHPI IV-A,Jamaica Plain,02130,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,Y,
MHPI IV-B,Roxbury,02119,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,Y,
MHPI IV-C,Dorchester,02124,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,
MHPI V,Dorchester,02121,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,,,
MHPI VI,Dorchester,02125,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,,
Midway Phase I,South Boston Waterfront,02127,44,0,44,38.0,0.0,38.0,6,0,6.0,Ownership,Private,,,"15 Channel Center St, Boston, MA 02210, United States"
Midway Studios,South Boston Waterfront,02127,89,89,0,53.0,53.0,0.0,36,36,0.0,Rental,Private,,,"15 Channel Center St, Boston, MA 02210, United States"
Miller (VUP),Dorchester,02122,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,"850 Albany St, Roxbury, MA 02119, United States"
Ming's Restaurant,South End,02118,38,38,0,37.0,37.0,0.0,1,1,0.0,Rental,Private,,,"1145 Washington St, Boston, MA 02118, United States"
Minot Hall Condominium,South End,02118,45,0,45,42.0,0.0,42.0,3,0,3.0,Ownership,Private,,,"15 Park Dr, Boston, MA 02215, United States"
Mishawum Assisted Living,Charlestown,02129,66,66,0,33.0,33.0,0.0,33,33,0.0,Rental,Private,Y,Y,"197 8th St #900, Charlestown, MA 02129, United States"
Mishawum Park,Charlestown,02129,337,337,0,0.0,0.0,0.0,337,337,0.0,Rental,Private,,Y,"338 Main St, Boston, MA 02129, United States"
Mission Hill Flats,Mission Hill,02120,40,40,0,35.0,35.0,0.0,5,5,0.0,Rental,Private,,,"1457 Tremont St, Boston, MA 02120, United States"
Mission Hill Phase I - HOME AGAIN,Mission Hill,02120,22,6,16,0.0,0.0,0.0,22,6,16.0,Ownership/Rental,Private,,,"1620 Tremont St #2nd, Boston, MA 02120, United States"
Mission Hill Phase II,Mission Hill,02130,34,34,0,0.0,0.0,0.0,34,34,0.0,Rental,Private,,,"1620 Tremont St #2nd, Boston, MA 02120, United States"
Mission Hill Scattered Sites,Mission Hill,02120,21,0,21,16.0,0.0,16.0,5,0,5.0,Ownership,Private,,,"1620 Tremont St #2nd, Boston, MA 02120, United States"
Mission Hill-Phase III - Home Again,Mission Hill,02120,24,6,18,0.0,0.0,0.0,24,6,18.0,Ownership/Rental,Private,,,"1620 Tremont St #2nd, Boston, MA 02120, United States"
Mission Main Phase I,Mission Hill,02120,310,310,0,51.0,51.0,0.0,259,259,0.0,Rental,Private,,,"43 Smith St, Boston, MA 02120, United States"
Mission Main Phase II,Mission Hill,02120,139,139,0,25.0,25.0,0.0,114,114,0.0,Rental,Private,,,"43 Smith St, Boston, MA 02120, United States"
Mission Main Phase III,Mission Hill,02120,86,86,0,14.0,14.0,0.0,72,72,0.0,Rental,Private,,,"43 Smith St, Boston, MA 02120, United States"
Mission Park,Mission Hill,02115,775,775,0,0.0,0.0,0.0,775,775,0.0,Rental,Private,Y,Y,"Mission Park Dr, Boston, MA 02115, USA"
MLK/Washington Commons,Roxbury,02119,49,0,49,21.0,0.0,21.0,28,0,28.0,Ownership,Private,,,
Monsignor Lyons Condo II,South Boston,02127,6,0,6,0.0,0.0,0.0,6,0,6.0,Ownership,Private,,,
Monsignor Lyons II- HOME AGAIN,South Boston,02127,6,0,6,0.0,0.0,0.0,6,0,6.0,Ownership,Private,,,
Monsignor Lyons Townhouses,South Boston,02127,10,0,10,0.0,0.0,0.0,10,0,10.0,Ownership,Private,,,
Montebello Rd Coop,Jamaica Plain,02130,7,7,0,0.0,0.0,0.0,7,7,0.0,Cooperative,Private,,,"111 Perkins St, Boston, MA 02130, United States"
Moore (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"272 Itasca St, Boston, MA 02126, United States"
Moreland St Apts,Roxbury,02119,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,"13 Shetland St, Boston, MA 02119, United States"
Morton Apts,Dorchester,02124,24,24,0,0.0,0.0,0.0,24,24,0.0,Rental,Private,,Y,"65 Morton Village Dr, Boston, MA 02126, United States"
Morton Village Apts (AOP),Mattapan,02126,207,207,0,0.0,0.0,0.0,207,207,0.0,Rental,Private,,,"65 Morton Village Dr, Boston, MA 02126, United States"
Morville House,Fenway,02115,147,147,0,0.0,0.0,0.0,147,147,0.0,Rental,Private,Y,Y,"100 Norway St, Boston, MA 02115, United States"
Mount Vernon St Housing Project (Phase 1),Dorchester,02125,205,205,0,183.0,183.0,0.0,22,22,0.0,Rental,Private,,,"401 Mt Vernon St, Boston, MA 02125, United States"
Mr. Lee's Lodge,Roxbury,02119,17,17,0,1.0,1.0,0.0,16,16,0.0,Rental,Private,,,"230 Lee Burbank Hwy, Revere, MA 02151, United States"
Msgr. Powers/L St. (667-3),South Boston,02127,68,68,0,0.0,0.0,0.0,68,68,0.0,Rental,Public,Y,,
Mt Pleasant Apts,Roxbury,02119,98,98,0,0.0,0.0,0.0,98,98,0.0,Rental,Private,,Y,"70 Perkins St, Somerville, MA 02145, United States"
Mt Pleasant Home Inc.,Jamaica Plain,02199,60,60,0,22.0,22.0,0.0,38,38,0.0,Rental,Private,,,"301 S Huntington Ave, Jamaica Plain, MA 02130, United States"
Mt. Bowdoin/Erie Ellington - HOME AGAIN,Dorchester,02121,16,6,10,0.0,0.0,0.0,16,6,10.0,Ownership/Rental,Private,,,"31 Erie St, Boston, MA 02121, United States"
Munevar (VUP),Jamaica Plain,02130,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,
Mystic Studios,South End,02118,32,32,0,26.0,26.0,0.0,6,6,0.0,Rental,Private,,,"36 Traveler St Unit 1, Boston, MA 02118, United States"
Nashua St Residences at the Fleet Center,West End,02114,503,503,0,473.0,473.0,0.0,30,30,0.0,Rental,Private,,,"1 Nashua St, Boston, MA 02114, United States"
Nate Smith House,Jamaica Plain,02130,44,44,0,0.0,0.0,0.0,44,44,0.0,Rental,Private,Y,,"155 Lamartine St, Jamaica Plain, MA 02130, United States"
Nazing Court,Roxbury,02121,151,151,0,0.0,0.0,0.0,151,151,0.0,Rental,Private,,,"232 Seaver St, Boston, MA 02121, United States"
NEBH Redevelopment,Mission Hill,02120,75,75,0,60.0,60.0,0.0,15,15,0.0,Rental,Private,Y,,"125 Parker Hill Ave, Boston, MA 02120, United States"
NEMA Boston,South Boston Waterfront,02127,414,414,0,360.0,360.0,0.0,54,54,0.0,Rental,Private,,,"399 Congress St, Boston, MA 02210, United States"
Neponset Fields - Elderly Housing (202),Hyde Park,02136,31,31,0,1.0,1.0,0.0,30,30,0.0,Rental,Private,Y,,"29 Neponset Field Ln, Hyde Park, MA 02136, United States"
New England Heritage Homes 1,Dorchester,02124,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,,"24 Oakton Ave, Dorchester, MA 02122, United States"
New England Heritage Homes 2,Dorchester,02124,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,,"24 Oakton Ave, Dorchester, MA 02122, United States"
New England Heritage Homes 3,Dorchester,02124,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,,"24 Oakton Ave, Dorchester, MA 02122, United States"
New England Heritage Homes 4,Dorchester,02124,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,,"24 Oakton Ave, Dorchester, MA 02122, United States"
New England Heritage Homes 5,Dorchester,02124,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,,"24 Oakton Ave, Dorchester, MA 02122, United States"
New England Heritage Homes 6,Dorchester,02124,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,,"24 Oakton Ave, Dorchester, MA 02122, United States"
New England Heritage Homes 7,Dorchester,02124,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,,"24 Oakton Ave, Dorchester, MA 02122, United States"
New Port Antonio Apts,Roxbury,02119,227,227,0,0.0,0.0,0.0,227,227,0.0,Rental,Private,,Y,"530 Warren St, Boston, MA 02121, United States"
Newcastle/Saranac,Roxbury,02127,97,97,0,48.0,48.0,0.0,49,49,0.0,Rental,Private,,Y,"Newcastle Ct, Boston, MA 02118, USA"
Nor-al,Dorchester,02124,57,57,0,0.0,0.0,0.0,57,57,0.0,Rental,Private,,Y,"339 Talbot Ave, Boston, MA 02124, United States"
Norfield,Dorchester,02121,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,,Y,"2 Atlantic Ave #2, Boston, MA 02110, United States"
Norflett (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Norfolk Street Transitional,Mattapan,02126,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"Boston, MA 02124, United States"
North Suffolk Group Home,East Boston,02128,28,28,0,0.0,0.0,0.0,28,28,0.0,Rental,Private,,,"14 Porter St, East Boston, MA 02128, United States"
North Suffolk Group Home 2,Hyde Park,02136,28,28,0,0.0,0.0,0.0,28,28,0.0,Rental,Private,,,"588 Beech St, Boston, MA 02131, United States"
Northampton Street,Roxbury,02118,32,0,32,26.0,0.0,26.0,6,0,6.0,Ownership,Private,,,"Northampton St, Boston, MA 02118, USA"
Northampton Tower,Roxbury,02118,347,347,0,86.0,86.0,0.0,261,261,0.0,Rental,Private,,,"35 Northampton St, Boston, MA 02118, United States"
Northampton/Mass. Ave,Roxbury,02118,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,"35 Northampton St, Boston, MA 02118, United States"
Norway Housing,Fenway,02115,136,136,0,0.0,0.0,0.0,136,136,0.0,Rental,Private,Y,Y,"30 Hemenway St, Boston, MA 02115, United States"
Norwell Whitfield (HOME AGAIN),Dorchester,02124,20,2,18,0.0,0.0,0.0,20,2,18.0,Ownership/Rental,Private,,,"Norwell St, DORCHESTR CTR, MA 02124, USA"
Nu Life Development,Dorchester,02121,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,,
OAK ROW,West Roxbury,02132,80,80,0,70.0,70.0,0.0,10,10,0.0,Rental,Private,,,"1235 VFW Pkwy, West Roxbury, MA 02132, United States"
Oak Terrace,Chinatown,02111,88,88,0,0.0,0.0,0.0,88,88,0.0,Rental,Private,Y,Y,"888 Washington St, Boston, MA 02111, United States"
O'Connor Way [Pier 4/Phase III Offsite Affordables],South Boston,02127,47,47,0,1.0,1.0,0.0,46,46,0.0,Rental,Private,Y,,"O'Connor Way, Boston, MA 02127, USA"
Off Centre Lofts,Jamaica Plain,02130,21,21,0,19.0,19.0,0.0,2,2,0.0,Rental,Private,,,"251 Heath St, Jamaica Plain, MA 02130, United States"
Old Colony (2-24),South Boston,02127,873,873,0,0.0,0.0,0.0,873,873,0.0,Rental,Public,,,"224 Old Colony Ave, Boston, MA 02127, USA"
Old Colony Square,South Boston,02127,24,0,24,21.0,0.0,21.0,3,0,3.0,Ownership,Private,,,"Old Colony Ave, Boston, MA, USA"
Oliveira (VUP),Dorchester,02125,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"55 Fruit St # 410, Boston, MA 02114, United States"
Olmstead Green Phase 2,Mattapan,02124,50,50,0,0.0,0.0,0.0,50,50,0.0,Rental,Private,,,"Hummingbird Ln, Boston, MA 02126, United States"
Olmstead Green Phase I Rental,Mattapan,02124,51,51,0,0.0,0.0,0.0,51,51,0.0,Rental,Private,,,"Hummingbird Ln, Boston, MA 02126, United States"
Olmsted Green - Mixed Income Rental,Mattapan,02124,100,100,0,60.0,60.0,0.0,40,40,0.0,Rental,Private,,,"Hummingbird Ln, Boston, MA 02126, United States"
Olmsted Green Phase 4,Mattapan,02124,47,47,0,0.0,0.0,0.0,47,47,0.0,Rental,Private,,,"Hummingbird Ln, Boston, MA 02126, United States"
Olmsted Green Rental Housing Phase 3,Mattapan,02124,50,50,0,0.0,0.0,0.0,50,50,0.0,Rental,Private,,,"Hummingbird Ln, Boston, MA 02126, United States"
Olmsted Place,Jamaica Plain,02115,196,196,0,159.0,159.0,0.0,37,37,0.0,Rental,Private,,,"Olmsted Rd, Brookline, MA 02445, USA"
On Luck Housing,Chinatown,02111,75,75,0,1.0,1.0,0.0,74,74,0.0,Rental,Private,Y,Y,"15 Essex St, Boston, MA 02111, United States"
One Canal,West End,02114,310,310,0,290.0,290.0,0.0,20,20,0.0,Rental,Private,,,"1 Canal St, Boston, MA 02114, United States"
One Garden Condominium,Beacon Hill,02114,12,0,12,11.0,0.0,11.0,1,0,1.0,Ownership,Private,,,"1 Canal St, Boston, MA 02114, United States"
One Greenway (Parcel 24 North/Affordable),Chinatown,02111,312,312,0,217.0,217.0,0.0,95,95,0.0,Rental,Private,,Y,"99 Kneeland St, Boston, MA 02111, United States"
One Lenox (SPO),Roxbury,02118,26,26,0,1.0,0.0,1.0,25,25,0.0,Rental,Private,,,
One Lincoln Plaza,Leather District,02111,85,0,85,74.0,0.0,74.0,11,0,11.0,Ownership,Private,,,"10 Lincoln St, Boston, MA 02111, United States"
One Newcomb Place,Roxbury,02118,23,23,0,20.0,20.0,0.0,3,3,0.0,Rental,Private,,,"1 Newcomb St, Boston, MA 02118, United States"
Orchard Gardens,Roxbury,02119,331,331,0,49.0,49.0,0.0,282,282,0.0,Rental,Public,,,"906 Albany St, Boston, MA 02119, United States"
Orchard Park (Off-Site Phase I),Roxbury,02119,78,78,0,14.0,14.0,0.0,64,64,0.0,Rental,Private,,,"906 Albany St, Boston, MA 02119, United States"
Orient Heights (200-8),East Boston,02128,331,331,0,0.0,0.0,0.0,331,331,0.0,Rental,Public,,,"District of Freedom#8573311~!#, Boston, MA 02128, United States"
Otis Field Estates,Roxbury,02121,10,0,10,0.0,0.0,0.0,10,0,10.0,Ownership,Private,,,"17 Main St, Watertown, MA 02472, United States"
Owens (VUP),Dorchester,02121,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,
Oxford Ping On,Chinatown,02111,67,67,0,1.0,1.0,0.0,66,66,0.0,Rental,Private,,,"14-14A Oxford St, Boston, MA 02111, United States"
Oxford Place,Chinatown,02111,39,39,0,0.0,0.0,0.0,39,39,0.0,Rental,Private,,Y,"Oxford Pl, Boston, MA 02111, USA"
Packard Crossing Phase I,Allston,02134,38,38,0,33.0,33.0,0.0,5,5,0.0,Rental,Private,,,"79-83 Gardner St, Boston, MA 02134, United States"
Parcel 24/South Homeownership,Chinatown,02111,51,0,51,0.0,0.0,0.0,51,0,51.0,Ownership,Private,,,
Parcel 25 (Phase 1A),Mission Hill,02120,40,40,0,0.0,0.0,0.0,40,40,0.0,Rental,Private,,,"Boston, MA 02120, United States"
Parcel 39A,Charlestown,02129,54,0,54,43.0,0.0,43.0,11,0,11.0,Ownership,Private,,,
Parcel P-2,Charlestown,02129,21,0,21,14.0,0.0,14.0,7,0,7.0,Ownership,Private,,,
Parcel R-8,Roxbury,02118,3,0,3,2.0,0.0,2.0,1,0,1.0,Ownership,Private,,,
Parcel U (Phase A & C),Jamaica Plain,02130,102,78,24,21.0,0.0,21.0,81,78,3.0,Ownership/Rental,Private,,,
Parcel U (Phase B),Jamaica Plain,02130,30,0,30,26.0,0.0,26.0,4,0,4.0,Ownership,Private,,,
Paris Village,East Boston,02128,32,32,0,0.0,0.0,0.0,32,32,0.0,Rental,Private,,,"Paris St, Boston, MA 02128, USA"
Park Cinema,Dorchester,02122,38,38,0,0.0,0.0,0.0,38,38,0.0,Rental,Private,,Y,"25 District Ave, Dorchester, MA 02125, United States"
Park Congregate,Dorchester,02124,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,Y,,
Park Gardens,Roxbury,02119,38,38,0,0.0,0.0,0.0,38,38,0.0,Rental,Private,,Y,"Leslie Park, Boston, MA 02119, USA"
Park Lane Seaport Apartments (Massport Parcels G & J),South Boston Waterfront,02127,465,112,353,447.0,97.0,350.0,18,15,3.0,Ownership,Private,,,"One Park Ln, Boston, MA 02210, United States"
Parker Hill Apts,Mission Hill,02120,90,90,0,0.0,0.0,0.0,90,90,0.0,Rental,Private,,,"170 Parker Hill Ave, Boston, MA 02120, United States"
Parkside on Adams,Roslindale,02131,43,43,0,37.0,37.0,0.0,6,6,0.0,Rental,Private,,,"4236 Washington St, Boston, MA 02131, United States"
Parkview SRO,Fenway,02115,61,61,0,0.0,0.0,0.0,61,61,0.0,Rental,Private,,,
Parmelee Court,Roxbury,02118,74,74,0,25.0,25.0,0.0,49,49,0.0,Rental,Private,,,"1782 Washington St, Boston, MA 02118, United States"
Parry (VUP),Roxbury,02121,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,
Pasciucco Apts (2-54),Dorchester,02125,92,92,0,0.0,0.0,0.0,92,92,0.0,Rental,Public,Y,,"330 Bowdoin St, Boston, MA 02122, United States"
Pass (VUP),Dorchester,02124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Patricia White (2-71),Brighton,02135,225,225,0,0.0,0.0,0.0,225,225,0.0,Rental,Public,Y,,
Patrick (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
PBX Residences,Chinatown,02111,46,46,0,39.0,39.0,0.0,7,7,0.0,Rental,Private,,,
Peabody Building,Dorchester,02124,18,18,0,7.0,7.0,0.0,11,11,0.0,Rental,Private,,,"195-197 Ashmont St, Boston, MA 02124, United States"
Peabody Square/Englewood (2-83),Dorchester,02124,103,103,0,0.0,0.0,0.0,103,103,0.0,Rental,Public,Y,,
Penniman on the Park,Allston,02134,36,0,36,30.0,0.0,30.0,6,0,6.0,Ownership,Private,,,"25 Penniman Rd, Boston, MA 02134, United States"
Penny Savings,South End,02118,23,0,23,21.0,0.0,21.0,2,0,2.0,Ownership,Private,,,"30 Un Pk St, Boston, MA 02118, United States"
Pereira (VUP),Dorchester,02125,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Perkins (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"1284 Blue Hill Avenue, Mattapan, MA 02126, United States"
Peterborough Housing,Fenway,02215,220,220,0,0.0,0.0,0.0,220,220,0.0,Rental,Private,,Y,"78 Peterborough St # 11, Boston, MA 02215, United States"
Peters (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"311 Bowdoin St, Boston, MA 02122, United States"
Phillips Brooks School,Dorchester,02121,56,56,0,0.0,0.0,0.0,56,56,0.0,Rental,Private,,,"1 Harvard Yard, Cambridge, MA 02138, United States"
Pickle Factory (Oliver Lofts),Mission Hill,02120,62,62,0,19.0,19.0,0.0,43,43,0.0,Rental,Private,,,"Roxbury Crossing,, 166 Terrace St, Roxbury Crossing, MA 02120, United States"
Pine Street Harrison (SPO),South End,02118,11,11,0,0.0,0.0,0.0,11,11,0.0,Rental,Private,,,"444 Harrison Ave, Boston, MA 02118, United States"
Pine Street Inn (689-1),South End,02118,150,150,0,0.0,0.0,0.0,150,150,0.0,Rental,Public,,,"444 Harrison Ave, Boston, MA 02118, United States"
Pine Street Park Dr (SPO),Fenway,02215,22,22,0,0.0,0.0,0.0,22,22,0.0,Rental,Private,,,"Pine St, Dedham, MA 02026, USA"
Pinnock (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Pond View Apartments,Jamaica Plain,02130,60,60,0,4.0,4.0,0.0,56,56,0.0,Rental,Private,,Y,"685 Centre St # 207, Jamaica Plain, MA 02130, United States"
Port 45,South Boston,02127,104,0,104,91.0,0.0,91.0,13,0,13.0,Ownership,Private,,,"45 W 3rd St, Boston, MA 02127, United States"
Portis Family House,Jamaica Plain,02115,7,7,0,0.0,0.0,0.0,7,7,0.0,Rental,Private,,,"226 S Huntington Ave, Jamaica Plain, MA 02130, United States"
Powell (VUP),Roxbury,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"637 Washington St, Boston, MA 02124, United States"
Prang Estates,Roxbury,02119,33,33,0,0.0,0.0,0.0,33,33,0.0,Rental,Private,,,"Louis Prang St, Boston, MA 02115, United States"
Project Family Independence,Roxbury,02119,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,,"11 Mt Pleasant Ave # 103, Roxbury, MA 02119, United States"
Putnam Place,Roxbury,02121,9,1,8,2.0,0.0,2.0,7,1,6.0,Ownership/Rental,Private,,,"Putnam Pl, Boston, MA 02119, USA"
Quincy Commons,Roxbury,02119,40,40,0,0.0,0.0,0.0,40,40,0.0,Rental,Private,Y,,"1 Canton Rd #15, Quincy, MA 02171, United States"
Quincy Heights,Dorchester,02121,129,129,0,0.0,0.0,0.0,129,129,0.0,Rental,Private,,Y,"86 Crawford St, Dorchester, MA 02121, United States"
Quincy Tower,Chinatown,02116,161,161,0,0.0,0.0,0.0,161,161,0.0,Rental,Private,Y,,"5 Oak St W, Boston, MA 02116, United States"
RAP-UP I,Roxbury,02119,33,33,0,0.0,0.0,0.0,33,33,0.0,Rental,Private,,Y,"31 Marcella St, Boston, MA 02119, United States"
RAP-UP II B,Roxbury,02119,51,51,0,0.0,0.0,0.0,51,51,0.0,Rental,Private,,Y,
Raven-Ramsey-Folsom,Dorchester,02125,7,4,3,1.0,0.0,1.0,6,3,3.0,Ownership/Rental,Private,,,"Folsom St, Boston, MA 02125, USA"
Reddick (VUP),Roxbury,02119,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Renwood-Cunard,Roxbury,02120,17,17,0,0.0,0.0,0.0,17,17,0.0,Rental,Private,,,
Reservoir Towers,Brighton,02135,242,242,0,0.0,0.0,0.0,242,242,0.0,Rental,Private,Y,Y,"1925 Commonwealth Ave, Boston, MA 02135, United States"
Residences At Bigelow Court,Brighton,02135,26,0,26,23.0,0.0,23.0,3,0,3.0,Ownership/Rental,Private,,,"111 Tremont St #109, Brighton, MA 02135, United States"
Residences at Brighton Marine,Brighton,02135,102,102,0,0.0,0.0,0.0,102,102,0.0,Rental,Private,,,"77 Warren St, Brighton, MA 02135, United States"
Residences at Dahlgren Hall,South Boston,02127,18,0,18,16.0,0.0,16.0,2,0,2.0,Ownership,Private,,,
