FILEID,STUSAB,SUMLEV,GEOID,GEOCODE,REGION,DIVISION,STATE,COUNTY,COUSUB,VTD,VTDI,P0020001,P0020005,P0020006,P0020002,P0020008,P0020007,P0020009,P0020010,P0020011,P0040001,P0040005,P0040006,P0040002,P0040008,P0040007,P0040009,P0040010,P0040011
field concept,State/US-Abbreviation (USPS),Summary Level,Geographic Record Identifier,Geographic Code Identifier,Region,Division,State (FIPS),County (FIPS),County Subdivision (FIPS),Voting District,Voting District Indicator,Total:,White alone,Black or African American alone,Hispanic or Latino,Asian alone,American Indian and Alaska Native alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:,Total:,White alone,Black or African American alone,Hispanic or Latino,Asian alone,American Indian and Alaska Native alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:
PLST,MA,710,7100000US2502500110807000,2.50E+15,1,1,25,25,7000,1108,A,2796,1541,233,429,401,0,2,17,173,2504,1414,216,357,379,0,2,10,126
PLST,MA,710,7100000US2502500110907000,2.50E+15,1,1,25,25,7000,1109,A,1263,890,57,130,75,0,0,12,99,1119,815,49,112,71,0,0,10,62
PLST,MA,710,7100000US2502500111007000,2.50E+15,1,1,25,25,7000,1110,A,1813,1118,159,288,145,0,0,17,86,1590,1014,121,232,142,0,0,17,64
PLST,MA,710,7100000US2502500120107000,2.50E+15,1,1,25,25,7000,1201,A,2742,236,1459,729,113,7,1,55,142,2111,197,1184,496,98,2,1,37,96
PLST,MA,710,7100000US2502500120207000,2.50E+15,1,1,25,25,7000,1202,A,3548,112,1918,1181,37,8,0,73,219,2685,93,1528,810,28,7,0,60,159
PLST,MA,710,7100000US2502500120307000,2.50E+15,1,1,25,25,7000,1203,A,1480,110,795,426,44,5,0,18,82,1137,95,635,291,34,5,0,12,65
PLST,MA,710,7100000US2502500120407000,2.50E+15,1,1,25,25,7000,1204,A,2065,158,1154,595,19,4,0,35,100,1608,139,921,436,16,3,0,23,70
PLST,MA,710,7100000US2502500120507000,2.50E+15,1,1,25,25,7000,1205,A,1075,37,658,304,10,6,0,8,52,778,26,490,211,10,4,0,7,30
PLST,MA,710,7100000US2502500120607000,2.50E+15,1,1,25,25,7000,1206,A,1582,62,943,387,16,3,1,28,142,1180,53,737,255,14,3,1,14,103
PLST,MA,710,7100000US2502500120707000,2.50E+15,1,1,25,25,7000,1207,A,4337,163,2237,1695,33,7,1,37,164,3161,154,1670,1162,26,7,1,20,121
PLST,MA,710,7100000US2502500120807000,2.50E+15,1,1,25,25,7000,1208,A,1602,75,788,599,11,5,0,31,93,1194,58,602,421,11,4,0,28,70
PLST,MA,710,7100000US2502500120907000,2.50E+15,1,1,25,25,7000,1209,A,1639,58,940,528,23,3,2,27,58,1245,41,744,376,23,3,2,19,37
PLST,MA,710,7100000US2502500130107000,2.50E+15,1,1,25,25,7000,1301,A,2889,102,1152,1067,76,8,1,99,384,2038,88,825,725,53,4,1,70,272
PLST,MA,710,7100000US2502500130207000,2.50E+15,1,1,25,25,7000,1302,A,962,40,441,301,33,2,1,25,119,724,38,350,196,27,1,1,14,97
PLST,MA,710,7100000US2502500130307000,2.50E+15,1,1,25,25,7000,1303,A,3949,1170,570,801,1229,9,5,26,139,3424,1040,450,613,1180,7,5,23,106
